id_2cell,n_crashes,n_parks_rec_properties
Area-1,0,0
Area-2,0,0
Area-3,0,0
Area-4,0,1
Area-5,0,0
Area-6,0,0
Area-7,0,0
Area-8,0,0
Area-9,0,0
Area-10,0,0
Area-11,0,0
Area-12,0,1
Area-13,0,1
Area-14,0,0
Area-15,0,0
Area-16,0,0
Area-17,0,0
Area-18,0,0
Area-19,0,0
Area-20,0,0
Area-21,0,0
Area-22,0,0
Area-23,0,1
Area-24,0,1
Area-25,0,1
Area-26,0,0
Area-27,0,0
Area-28,0,0
Area-29,0,0
Area-30,0,0
Area-31,0,0
Area-32,0,0
Area-33,0,0
Area-34,0,0
Area-35,0,0
Area-36,0,0
Area-37,0,0
Area-38,1,0
Area-39,0,0
Area-40,1,0
Area-41,0,0
Area-42,0,0
Area-43,0,0
Area-44,0,0
Area-45,0,0
Area-46,0,0
Area-47,0,0
Area-48,0,0
Area-49,0,0
Area-50,0,1
Area-51,0,1
Area-52,0,1
Area-53,0,0
Area-54,0,0
Area-55,0,0
Area-56,0,0
Area-57,0,0
Area-58,0,0
Area-59,0,0
Area-60,0,0
Area-61,1,0
Area-62,0,0
Area-63,0,0
Area-64,0,0
Area-65,0,0
Area-66,0,0
Area-67,0,0
Area-68,1,0
Area-69,0,0
Area-70,0,0
Area-71,0,0
Area-72,0,0
Area-73,0,0
Area-74,0,0
Area-75,0,0
Area-76,0,0
Area-77,0,0
Area-78,0,0
Area-79,0,1
Area-80,0,0
Area-81,0,0
Area-82,0,0
Area-83,0,0
Area-84,0,0
Area-85,0,0
Area-86,0,0
Area-87,0,0
Area-88,0,0
Area-89,0,0
Area-90,0,0
Area-91,0,0
Area-92,0,0
Area-93,0,0
Area-94,0,0
Area-95,0,0
Area-96,0,0
Area-97,0,0
Area-98,0,0
Area-99,0,0
Area-100,0,0
Area-101,0,0
Area-102,0,0
Area-103,0,0
Area-104,0,0
Area-105,0,0
Area-106,0,0
Area-107,0,0
Area-108,0,0
Area-109,0,0
Area-110,0,0
Area-111,0,0
Area-112,0,0
Area-113,0,0
Area-114,0,0
Area-115,0,0
Area-116,0,0
Area-117,0,0
Area-118,0,0
Area-119,0,0
Area-120,0,0
Area-121,0,0
Area-122,0,0
Area-123,0,0
Area-124,0,0
Area-125,0,0
Area-126,0,0
Area-127,0,0
Area-128,0,0
Area-129,1,0
Area-130,0,0
Area-131,0,0
Area-132,0,0
Area-133,0,0
Area-134,0,0
Area-135,0,0
Area-136,0,0
Area-137,0,0
Area-138,0,0
Area-139,0,0
Area-140,1,0
Area-141,0,0
Area-142,0,0
Area-143,0,0
Area-144,0,0
Area-145,0,0
Area-146,1,0
Area-147,0,0
Area-148,0,0
Area-149,0,0
Area-150,0,0
Area-151,0,0
Area-152,0,0
Area-153,0,0
Area-154,0,0
Area-155,0,0
Area-156,0,0
Area-157,0,0
Area-158,0,0
Area-159,0,0
Area-160,0,0
Area-161,0,0
Area-162,0,0
Area-163,0,0
Area-164,0,0
Area-165,0,0
Area-166,0,0
Area-167,0,0
Area-168,0,0
Area-169,0,0
Area-170,0,0
Area-171,1,0
Area-172,0,0
Area-173,0,0
Area-174,0,0
Area-175,0,0
Area-176,0,0
Area-177,0,0
Area-178,0,0
Area-179,0,0
Area-180,0,0
Area-181,0,0
Area-182,1,0
Area-183,0,0
Area-184,0,0
Area-185,0,0
Area-186,1,0
Area-187,0,0
Area-188,0,0
Area-189,0,0
Area-190,0,0
Area-191,0,0
Area-192,0,0
Area-193,0,0
Area-194,0,0
Area-195,0,0
Area-196,0,0
Area-197,0,0
Area-198,0,0
Area-199,0,0
Area-200,0,0
Area-201,0,0
Area-202,0,0
Area-203,0,0
Area-204,0,0
Area-205,0,0
Area-206,0,0
Area-207,0,0
Area-208,0,0
Area-209,0,0
Area-210,0,0
Area-211,0,0
Area-212,0,0
Area-213,0,0
Area-214,0,0
Area-215,0,0
Area-216,0,0
Area-217,0,0
Area-218,0,0
Area-219,0,0
Area-220,0,0
Area-221,0,0
Area-222,0,0
Area-223,0,0
Area-224,0,0
Area-225,0,0
Area-226,0,0
Area-227,0,0
Area-228,0,0
Area-229,0,0
Area-230,0,0
Area-231,0,0
Area-232,0,0
Area-233,0,0
Area-234,0,0
Area-235,0,0
Area-236,0,0
Area-237,0,0
Area-238,0,0
Area-239,0,0
Area-240,0,0
Area-241,0,0
Area-242,0,0
Area-243,0,0
Area-244,0,0
Area-245,0,0
Area-246,0,0
Area-247,0,0
Area-248,0,0
Area-249,0,0
Area-250,0,0
Area-251,0,0
Area-252,0,0
Area-253,0,0
Area-254,0,0
Area-255,0,0
Area-256,0,0
Area-257,0,0
Area-258,0,0
Area-259,0,0
Area-260,0,0
Area-261,0,0
Area-262,0,0
Area-263,0,0
Area-264,0,0
Area-265,0,0
Area-266,0,0
Area-267,0,0
Area-268,0,0
Area-269,0,0
Area-270,0,0
Area-271,0,0
Area-272,0,0
Area-273,0,0
Area-274,0,0
Area-275,0,0
Area-276,0,0
Area-277,0,0
Area-278,1,0
Area-279,0,0
Area-280,0,0
Area-281,0,0
Area-282,0,0
Area-283,0,0
Area-284,0,0
Area-285,0,0
Area-286,0,0
Area-287,0,0
Area-288,0,0
Area-289,0,0
Area-290,0,0
Area-291,0,0
Area-292,0,0
Area-293,0,0
Area-294,0,0
Area-295,0,0
Area-296,0,0
Area-297,0,0
Area-298,0,0
Area-299,0,0
Area-300,0,0
Area-301,0,0
Area-302,0,0
Area-303,0,0
Area-304,0,0
Area-305,0,0
Area-306,0,0
Area-307,0,0
Area-308,0,0
Area-309,0,0
Area-310,0,0
Area-311,0,0
Area-312,0,0
Area-313,0,0
Area-314,0,0
Area-315,0,0
Area-316,0,0
Area-317,0,0
Area-318,0,0
Area-319,0,0
Area-320,0,0
Area-321,0,0
Area-322,2,0
Area-323,0,0
Area-324,0,0
Area-325,0,0
Area-326,0,0
Area-327,1,0
Area-328,1,0
Area-329,0,0
Area-330,0,0
Area-331,0,0
Area-332,0,0
Area-333,0,0
Area-334,0,0
Area-335,0,0
Area-336,0,0
Area-337,0,0
Area-338,0,0
Area-339,0,0
Area-340,0,0
Area-341,0,0
Area-342,0,0
Area-343,0,0
Area-344,0,0
Area-345,0,0
Area-346,0,0
Area-347,0,0
Area-348,0,0
Area-349,0,0
Area-350,0,0
Area-351,0,0
Area-352,0,0
Area-353,0,0
Area-354,0,0
Area-355,0,0
Area-356,0,0
Area-357,0,0
Area-358,0,0
Area-359,0,0
Area-360,0,0
Area-361,0,0
Area-362,0,0
Area-363,0,0
Area-364,0,0
Area-365,0,0
Area-366,0,0
Area-367,0,0
Area-368,0,0
Area-369,0,0
Area-370,0,0
Area-371,0,0
Area-372,0,0
Area-373,0,0
Area-374,0,0
Area-375,1,0
Area-376,0,0
Area-377,0,0
Area-378,2,0
Area-379,0,0
Area-380,0,0
Area-381,1,0
Area-382,1,0
Area-383,0,0
Area-384,0,0
Area-385,0,0
Area-386,0,0
Area-387,0,0
Area-388,0,0
Area-389,0,0
Area-390,0,0
Area-391,0,0
Area-392,0,0
Area-393,0,0
Area-394,0,0
Area-395,0,0
Area-396,0,0
Area-397,0,0
Area-398,0,0
Area-399,0,0
Area-400,0,0
Area-401,0,0
Area-402,0,0
Area-403,0,0
Area-404,0,0
Area-405,0,0
Area-406,0,0
Area-407,0,0
Area-408,0,0
Area-409,0,0
Area-410,0,0
Area-411,0,0
Area-412,0,0
Area-413,0,0
Area-414,0,0
Area-415,0,0
Area-416,0,0
Area-417,0,0
Area-418,0,0
Area-419,1,0
Area-420,0,0
Area-421,1,0
Area-422,0,0
Area-423,0,0
Area-424,0,0
Area-425,0,0
Area-426,0,0
Area-427,1,0
Area-428,0,0
Area-429,0,0
Area-430,0,0
Area-431,1,0
Area-432,3,0
Area-433,1,0
Area-434,0,0
Area-435,0,0
Area-436,0,0
Area-437,0,0
Area-438,0,0
